"Simulation","Rpart","LDA","SVM","RF","GBM","LOG","DL"
"1",1,0.798308823529412,0.657647058823529,0.909411764705882,0.907310049019608,0.909105392156863,0.913823529411765,0.90207326
"2",1,0.613333333333333,0.54,0.666666666666667,0.636666666666667,0.593333333333333,0.59,0.9738796
"3",1,0.879411764705882,0.678308823529412,0.915808823529412,0.939338235294118,0.952205882352941,0.939705882352941,0.75555557
"4",1,0.813250517598344,0.643148880105402,0.854376058723885,0.863485789572746,0.86309053265575,0.853961980048937,0.9187042
"5",1,0.662698412698413,0.353636363636364,0.783809523809524,0.801666666666667,0.856190476190476,0.799761904761905,0.9231352
"6",1,0.613333333333333,0.54,0.666666666666667,0.636666666666667,0.593333333333333,0.59,0.9738796
"7",1,0.613553113553114,0.41202759658642,0.678677988677989,0.700606060606061,0.659351204351204,0.65025641025641,0.9469788
"8",1,0.746372549019608,0.609154411764706,0.791237745098039,0.788002450980392,0.772769607843137,0.764852941176471,0.864717585
"9",2,0.765637254901961,0.711801470588235,0.893664215686275,0.876813725490196,0.899546568627451,0.894767156862745,0.90207326
"10",2,0.653333333333333,0.606666666666667,0.626666666666667,0.596666666666667,0.56,0.586666666666667,0.9738796
"11",2,0.895588235294118,0.75625,0.915073529411765,0.920220588235294,0.951102941176471,0.951102941176471,0.75555557
"12",2,0.834895539243365,0.719687558817994,0.844005270092227,0.839459815546772,0.854140786749482,0.861594202898551,0.9187042
"13",2,0.682976190476191,0.45547619047619,0.720595238095238,0.72047619047619,0.763333333333333,0.785,0.9231352
"14",2,0.653333333333333,0.606666666666667,0.626666666666667,0.596666666666667,0.56,0.586666666666667,0.9738796
"15",2,0.657085137085137,0.515869963369963,0.656327561327561,0.645477855477855,0.635238095238095,0.664581529581529,0.9469788
"16",2,0.774460784313725,0.681458333333333,0.770870098039216,0.75844362745098,0.755551470588235,0.768884803921569,0.864717585
"17",3,0.789595588235294,0.62421568627451,0.895968137254902,0.890177696078431,0.922205882352941,0.907904411764706,0.90207326
"18",3,0.556666666666667,0.483333333333333,0.65,0.61,0.72,0.633333333333333,0.9738796
"19",3,0.926470588235294,0.720220588235294,0.916176470588235,0.951102941176471,0.963235294117647,0.963235294117647,0.75555557
"20",3,0.834340297383776,0.660540184453228,0.85004705439488,0.866807829851308,0.903209109730849,0.88129117259552,0.9187042
"21",3,0.726666666666667,0.361489898989899,0.787738095238095,0.85,0.885,0.893095238095238,0.9231352
"22",3,0.556666666666667,0.483333333333333,0.65,0.61,0.72,0.633333333333333,0.9738796
"23",3,0.59978354978355,0.396062515915457,0.673185148185148,0.671139971139971,0.774264069264069,0.708679653679654,0.9469788
"24",3,0.74156862745098,0.601776960784314,0.783088235294118,0.780551470588235,0.841617647058823,0.79828431372549,0.864717585
"25",4,0.830459558823529,0.735625,0.909509803921569,0.933835784313725,0.930968137254902,0.923700980392157,0.9241589
"26",4,0.623333333333333,0.613333333333333,0.633333333333333,0.716666666666667,0.616666666666667,0.6,0.9757448
"27",4,0.895955882352941,0.720955882352941,0.932720588235294,0.920220588235294,0.932720588235294,0.969485294117647,0.8111905
"28",4,0.827084509693205,0.693186523621306,0.858507434594391,0.868445322793149,0.854357236965933,0.876905702992659,0.9207288
