"Simulation","Rpart","LDA","SVM","RF","GBM","LOG","DL"
"29",4,0.684761904761905,0.425882173382173,0.787142857142857,0.779642857142857,0.80047619047619,0.898333333333333,0.9193789
"30",4,0.623333333333333,0.613333333333333,0.633333333333333,0.716666666666667,0.616666666666667,0.6,0.9757448
"31",4,0.62989898989899,0.486300366300366,0.693434343434343,0.730683760683761,0.662808302808303,0.696962481962482,0.943512
"32",4,0.759644607843137,0.667144607843137,0.783026960784314,0.81844362745098,0.77469362745098,0.784742647058824,0.89346765
"33",5,0.793259803921569,0.737512254901961,0.876580882352941,0.872199754901961,0.895612745098039,0.881360294117647,0.9241589
"34",5,0.676666666666667,0.576666666666667,0.576666666666667,0.493333333333333,0.516666666666667,0.48,0.9757448
"35",5,0.848529411764706,0.769852941176471,0.927205882352941,0.939705882352941,0.939338235294118,0.957352941176471,0.8111905
"36",5,0.807152268021833,0.721381517033691,0.840269151138716,0.830331262939959,0.834876717485413,0.839243365330322,0.9207288
"37",5,0.647438672438672,0.47968253968254,0.721666666666667,0.783333333333333,0.786666666666667,0.788888888888889,0.9193789
"38",5,0.676666666666667,0.576666666666667,0.576666666666667,0.493333333333333,0.516666666666667,0.48,0.9757448
"39",5,0.609264346764347,0.503483183483183,0.625108225108225,0.61710758377425,0.585151515151515,0.623015873015873,0.943512
"40",5,0.762598039215686,0.673259803921569,0.751936274509804,0.716519607843137,0.728002450980392,0.718676470588235,0.89346765
"41",6,0.83130081300813,1,0.998419150858175,1,1,0.973012646793135,1
"42",6,0.833333333333333,1,0.944444444444444,1,1,0.703703703703704,1
"43",6,0.829268292682927,1,0.99390243902439,1,1,0.975609756097561,1
"44",6,0.830275229357798,1,0.981651376146789,1,1,0.908256880733945,1
"45",6,0.616438356164384,1,0.980769230769231,1,1,0.904761904761905,1
"46",6,0.833333333333333,1,0.944444444444444,1,1,0.703703703703704,1
"47",6,0.708661417322835,1,0.962264150943396,1,1,0.791666666666667,1
"48",6,0.83130081300813,1,0.969173441734417,1,1,0.839656729900632,1
"49",7,0.821589882565492,1,0.986788617886179,1,1,0.961946702800361,0.978206865401987
"50",7,0.740740740740741,1,0.907407407407407,1,1,0.685185185185185,0.975609756097561
"51",7,0.902439024390244,1,0.98780487804878,1,0.99390243902439,0.975609756097561,0.981481481481482
"52",7,0.862385321100917,1,0.967889908256881,1,0.995412844036697,0.903669724770642,0.977064220183486
"53",7,0.714285714285714,1,0.96078431372549,1,0.981818181818182,0.902439024390244,0.993788819875776
"54",7,0.740740740740741,1,0.907407407407407,1,1,0.685185185185185,0.975609756097561
"55",7,0.727272727272727,1,0.933333333333333,1,0.990825688073394,0.778947368421053,0.984615384615385
"56",7,0.821589882565492,1,0.947606142728094,1,0.996951219512195,0.830397470641373,0.978545618789521
"57",8,0.855691056910569,1,0.98780487804878,1,1,0.945347786811201,0.98340108401084
"58",8,0.777777777777778,1,0.962962962962963,1,1,0.592592592592593,0.981707317073171
"59",8,0.914634146341463,1,0.99390243902439,1,1,0.975609756097561,0.981481481481482
"60",8,0.880733944954128,1,0.986238532110092,1,1,0.880733944954128,0.981651376146789
"61",8,0.75,1,0.981132075471698,1,1,0.888888888888889,0.993827160493827
"62",8,0.777777777777778,1,0.962962962962963,1,1,0.592592592592593,0.981707317073171
"63",8,0.763636363636364,1,0.97196261682243,1,1,0.711111111111111,0.987730061349693
"64",8,0.846205962059621,1,0.978432700993677,1,1,0.784101174345077,0.981594399277326
"65",9,0.876242095754291,0.999661246612466,0.988256549232159,1,1,0.997515808491418,0.978206865401987
"66",9,0.722222222222222,0.981481481481482,0.925925925925926,1,1,0.888888888888889,0.98780487804878
"67",9,0.939024390243902,1,1,1,1,1,0.944444444444444
"68",9,0.885321100917431,0.995412844036697,0.981651376146789,1,1,0.972477064220184,0.977064220183486
"69",9,0.795918367346939,1,1,1,1,1,0.981818181818182
"70",9,0.722222222222222,0.981481481481482,0.925925925925926,1,1,0.888888888888889,0.98780487804878
"71",9,0.757281553398058,0.990654205607477,0.961538461538461,1,1,0.941176470588235,0.984802431610942
"72",9,0.830623306233062,0.990740740740741,0.962962962962963,1,1,0.944444444444444,0.966124661246612
"73",10,0.843608852755194,1,0.998193315266486,1,0.997515808491418,0.966124661246612,0.976851851851852
"74",10,0.851851851851852,0.981481481481482,0.888888888888889,1,0.944444444444444,0.703703703703704,0.981707317073171
"75",10,0.835365853658537,1,1,1,0.98780487804878,0.969512195121951,0.925925925925926
"76",10,0.839449541284404,0.995412844036697,0.972477064220184,1,0.977064220183486,0.903669724770642,0.967889908256881
"77",10,0.63013698630137,1,1,1,0.962264150943396,0.883720930232558,0.975757575757576
"78",10,0.851851851851852,0.981481481481482,0.888888888888889,1,0.944444444444444,0.703703703703704,0.981707317073171
"79",10,0.724409448818898,0.990654205607477,0.941176470588235,1,0.953271028037383,0.783505154639175,0.978723404255319
"80",10,0.843608852755194,0.990740740740741,0.944444444444444,1,0.966124661246612,0.836607949412827,0.953816621499548
